Class,Order,Family,Species,Sex Determination,heterogametic lifespan,homogametic lifespan,lnRRlifespan,Population source,Lifespan data type,GS Female Mb,GS Male Mb,GS Diff Mb
Insecta,Diptera,Drosophilidae,Drosophila rufa,male heterogametic,,,,,,256.8,246,21.6
Insecta,Diptera,Drosophilidae,Drosophila tani,NA,,,,,,211.5,200.8,21.4
Insecta,Diptera,Drosophilidae,Drosophila pectinifera,NA,,,,,,297.4,280.4,34
Insecta,Diptera,Drosophilidae,Drosophila baimaii,male heterogametic,,,,,,279.2,273.6,11.2
Insecta,Diptera,Drosophilidae,Drosophila birchii,male heterogametic,,,,,,191.2,190.4,1.6
Insecta,Diptera,Drosophilidae,Drosophila mayri,male heterogametic,,,,,,262.2,256.2,12
Insecta,Diptera,Drosophilidae,Drosophila barbarae,male heterogametic,,,,,,289.6,279.2,20.8
Insecta,Diptera,Drosophilidae,Drosophila bicornuta,male heterogametic,,,,,,245,226.6,36.8
Insecta,Diptera,Drosophilidae,Drosophila nikananu,male heterogametic,,,,,,219.7,220.6,-1.8
Insecta,Diptera,Drosophilidae,Drosophila diplacantha,NA,,,,,,273.2,270.4,5.6
Insecta,Diptera,Drosophilidae,Drosophila vulcana,male heterogametic,,,,,,226,221.1,9.8
Insecta,Diptera,Drosophilidae,Drosophila tsacasi,male heterogametic,,,,,,224.8,211.5,26.6
Insecta,Diptera,Drosophilidae,Drosophila seguyi,male heterogametic,,,,,,249.1,245.3,7.6
Insecta,Diptera,Drosophilidae,Drosophila greeni,male heterogametic,,,,,,244.1,236.7,14.8
Insecta,Diptera,Drosophilidae,Drosophila serrata,male heterogametic,,,,,,226.7,215.8,21.8
Insecta,Diptera,Drosophilidae,Drosophila bunnanda,NA,,,,,,238.3,232.5,11.6
Insecta,Diptera,Drosophilidae,Drosophila punjabiensis,male heterogametic,,,,,,200,194.9,10.2
Insecta,Diptera,Drosophilidae,Drosophila orosa,male heterogametic,,,,,,215.3,216.2,-1.8
Insecta,Diptera,Drosophilidae,Drosophila kikkawai,male heterogametic,25.4,25.19,-0.008302084,,mean,223,223.5,-1
Insecta,Diptera,Drosophilidae,Drosophila jambulina,male heterogametic,,,,,,219,210.4,17.2
Insecta,Diptera,Drosophilidae,Drosophila kanapiae,male heterogametic,,,,,,168.6,164.8,7.6
Insecta,Diptera,Drosophilidae,Drosophila ficusphila,male heterogametic,,,,,,201.8,192.8,18
Insecta,Diptera,Drosophilidae,Drosophila erecta,male heterogametic,21.03,31.78,0.412887171,,mean,184.2,184.8,-1.2
Insecta,Diptera,Drosophilidae,Drosophila orena,NA,,,,,,280.7,280.7,0
Insecta,Diptera,Drosophilidae,Drosophila santomea,NA,,,,,,181.9,178.3,7.2
Insecta,Diptera,Drosophilidae,Drosophila yakuba,male heterogametic,9.37,16.79,0.583270375,,mean,180.6,178.9,3.4
Insecta,Diptera,Drosophilidae,Drosophila teissieri,male heterogametic,,,,,,165,162.9,4.2
Insecta,Diptera,Drosophilidae,Drosophila mauritiana,male heterogametic,,,,,,164.9,162.6,4.6
Insecta,Diptera,Drosophilidae,Drosophila sechellia,male heterogametic,16.76,8.51,-0.677753152,,mean,208.3,190.9,34.8
Insecta,Diptera,Drosophilidae,Drosophila simulans,male heterogametic,37.44,28.79,-0.262711547,,mean,168.9,163.8,10.2
Insecta,Diptera,Drosophilidae,Drosophila melanogaster,male heterogametic,36.22,26.22,-0.323088974,,mean,174.5,172.1,4.8
Insecta,Diptera,Drosophilidae,Drosophila eugracilis,male heterogametic,,,,,,237.8,237.8,0
Insecta,Diptera,Drosophilidae,Drosophila paralutea,male heterogametic,,,,,,239.2,234.6,9.2
Insecta,Diptera,Drosophilidae,Drosophila prostipennis,male heterogametic,,,,,,245.5,239.8,11.4
Insecta,Diptera,Drosophilidae,Drosophila lutescens,male heterogametic,,,,,,229.6,231.9,-4.6
Insecta,Diptera,Drosophilidae,Drosophila takahashii,male heterogametic,,,,,,210.8,204,13.6
Insecta,Diptera,Drosophilidae,Drosophila pseudotakahashii,male heterogametic,,,,,,212.2,202.9,18.6
Insecta,Diptera,Drosophilidae,Drosophila mimetica,male heterogametic,,,,,,212.7,208.3,8.8
Insecta,Diptera,Drosophilidae,Drosophila suzukii,male heterogametic,,,,,,342.8,333.3,19
Insecta,Diptera,Drosophilidae,Drosophila lucipennis,male heterogametic,,,,,,274,274.1,-0.2
Insecta,Diptera,Drosophilidae,Drosophila elegans,male heterogametic,,,,,,218.5,217.9,1.2
Insecta,Diptera,Drosophilidae,Drosophila fuyamai,NA,,,,,,266.3,262.5,7.6
Insecta,Diptera,Drosophilidae,Drosophila malerkotliana,male heterogametic,,,,,,221.8,215.9,11.8
Insecta,Diptera,Drosophilidae,Drosophila bipectinata,male heterogametic,12.29,12.71,0.033603162,,mean,213,208.9,8.2
Insecta,Diptera,Drosophilidae,Drosophila pseudoananassae,male heterogametic,,,,,,223.6,215.5,16.2
Insecta,Diptera,Drosophilidae,Drosophila pseudoananassae nigrens,male heterogametic,,,,,,224,224,0
Insecta,Diptera,Drosophilidae,Drosophila parabipectinata,male heterogametic,,,,,,241,235.1,11.8
Insecta,Diptera,Drosophilidae,Drosophila phaeopleura,male heterogametic,,,,,,202.9,187.3,31.2
Insecta,Diptera,Drosophilidae,Drosophila atripex,male heterogametic,,,,,,198.2,194.8,6.8
Insecta,Diptera,Drosophilidae,Drosophila ananassae,male heterogametic,29.88,25.98,-0.139862349,,mean,205.1,198.6,13
Insecta,Diptera,Drosophilidae,Drosophila pallidosa,male heterogametic,,,,,,194.1,186.8,14.6
Insecta,Diptera,Drosophilidae,Drosophila ercepeae,male heterogametic,,,,,,224,221,6
Insecta,Diptera,Drosophilidae,Drosophila varians,male heterogametic,,,,,,166.7,156,21.4
Insecta,Diptera,Drosophilidae,Drosophila emarginata,male heterogametic,,,,,,218.4,211.7,13.4
Insecta,Diptera,Drosophilidae,Drosophila neocordata,male heterogametic,,,,,,219,219.8,-1.6
Insecta,Diptera,Drosophilidae,Drosophila paulistorum,male heterogametic,,,,,,244.7,250.1,-10.8
Insecta,Diptera,Drosophilidae,Drosophila equinoxialis,male heterogametic,,,,,,264.5,266.4,-3.8
Insecta,Diptera,Drosophilidae,Drosophila capricorni,male heterogametic,,,,,,211.8,205.4,12.8
Insecta,Diptera,Drosophilidae,Drosophila sucinea,male heterogametic,,,,,,215.1,211.3,7.6
Insecta,Diptera,Drosophilidae,Drosophila nebulosa,male heterogametic,,,,,,211.5,203.1,16.8
Insecta,Diptera,Drosophilidae,Hirtodrosophila duncani,NA,,,,,,251.6,244.3,14.6
Insecta,Diptera,Drosophilidae,Scaptodrosophila lebanonensis,Neo,,,,,,257.2,253.3,7.8
Insecta,Diptera,Drosophilidae,Scaptodrosophila pattersoni,NA,,,,,,251.9,256.9,-10
Insecta,Diptera,Drosophilidae,Scaptodrosophila stonei,NA,,,,,,206.8,208.3,-3
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
